Jannik SINNER,M,1
Carlos ALCARAZ,M,2
Alexander ZVEREV,M,3
Jack DRAPER,M,4
Taylor FRITZ,M,5
Novak DJOKOVIC,M,6
Lorenzo MUSETTI,M,7
Holger RUNE,M,8
Daniil MEDVEDEV,M,9
Ben SHELTON,M,10
Alex DE MINAUR,M,11
Frances TIAFOE,M,12
Tommy PAUL,M,13
Andrey RUBLEV,M,14
Jakub MENSIK,M,15
Francisco CERUNDOLO,M,16
Karen KHACHANOV,M,17
Ugo HUMBERT,M,18
Grigor DIMITROV,M,19
Alexei POPYRIN,M,20
Tomas MACHAC,M,21
Flavio COBOLLI,M,22
Jiri LEHECKA,M,23
Stefanos TSITSIPAS,M,24
Felix AUGER ALISIAMME,M,25
Alejandro DAVIDOVIC FOKINA,M,26
Denis SHAPOVALOV,M,27
Alexander BUBLIK,M,28
Brandon NAKASHIMA,M,29
Alex MICHELSEN,M,30
Tallon GRIEKSPOOR,M,31
Matteo BERRETTINI,M,32
Aryna SABALENKA,F,1
Coco GAUFF,F,2
Jessica PEGULA,F,3
Jasmine PAOLINI,F,4
Qinwen ZHENG,F,5
Madison KEYS,F,6
Mirra ANDREEVA,F,7
Iga SWIATEK,F,8
Paula BADOSA,F,9
Emma NAVARRO,F,10
Elena RYBAKINA,F,11
Diana SHNAIDER,F, 12
Amanda ANISIMOVA,F,13
Elina SVITOLINA,F,14
Karolina MUCHOVA,F,15
Daria KASATKINA,F,16
Barbora KREJCIKOVA,F,17
Ekaterina ALEXANDROVA,F,18
Liudmila SAMSONOVA,F,19
Jelena OSTAPENKO,F,20
Beatriz HADDAD MAIA,F,21
Donna VEKIC,F,22
Clara TAUSON,F,23
Elise MERTENS,F,24
Magdalena FRECH,F,25
Marta KOSTYUK,F,26
Magda LINETTE,F,27
Sofia KENIN,F,28
Leylah FERNANDEZ,F,29
Linda NOSKOVA,F,30
Ashlyn KRUEGER,F,31
McCartney KESSLER,F,32